"270","MSFT","49.105","42291541","250644","4/30/2015","2:22pm"
"271","AMZN","422.881","2015202","9781","4/30/2015","2:23pm"
"272","AAPL","125.410","56574976","187654","4/30/2015","2:23pm"
"273","FB","79.100","15447383","164821","4/30/2015","2:23pm"
"274","GOOG","538.960","1200702","6236","4/30/2015","2:23pm"
"275","YHOO","42.620","7348878","83782","4/30/2015","2:23pm"
"276","SIRI","3.930","22320921","29300","4/30/2015","2:23pm"
"277","GE","27.200","25687214","101113","4/30/2015","2:23pm"
"278","S","5.110","9009639","8678","4/30/2015","2:23pm"
"279","BAC","15.970","48586719","75609","4/30/2015","2:23pm"
"280","MSFT","49.080","42554483","262942","4/30/2015","2:23pm"
"281","AMZN","422.680","2019557","4355","4/30/2015","2:24pm"
"282","AAPL","125.360","56684936","109960","4/30/2015","2:24pm"
"283","FB","78.960","15730371","282988","4/30/2015","2:24pm"
"284","GOOG","538.790","1210444","9742","4/30/2015","2:24pm"
"285","YHOO","42.580","7417920","69042","4/30/2015","2:24pm"
"286","SIRI","3.930","23617118","1296197","4/30/2015","2:24pm"
"287","GE","27.180","25748978","61764","4/30/2015","2:24pm"
"288","S","5.115","9019842","10203","4/30/2015","2:24pm"
"289","BAC","15.960","48708416","121697","4/30/2015","2:24pm"
"290","MSFT","49.050","42639271","84788","4/30/2015","2:24pm"
"291","AMZN","422.480","2031483","11926","4/30/2015","2:25pm"
"292","AAPL","125.340","56978817","293881","4/30/2015","2:25pm"
"293","FB","78.970","15975900","245529","4/30/2015","2:25pm"
"294","GOOG","538.920","1234637","24193","4/30/2015","2:25pm"
"295","YHOO","42.600","7586141","168221","4/30/2015","2:25pm"
"296","SIRI","3.920","23796686","179568","4/30/2015","2:25pm"
"297","GE","27.165","25942511","193533","4/30/2015","2:25pm"
"298","S","5.110","9046030","26188","4/30/2015","2:25pm"
"299","BAC","15.945","49050965","342549","4/30/2015","2:25pm"
"300","MSFT","49.050","42947844","308573","4/30/2015","2:25pm"
"301","AMZN","422.450","2032769","1286","4/30/2015","2:26pm"
"302","AAPL","125.320","57116546","137729","4/30/2015","2:26pm"
"303","FB","78.985","16049178","73278","4/30/2015","2:26pm"
"304","GOOG","538.750","1236813","2176","4/30/2015","2:26pm"
"305","YHOO","42.585","7622984","36843","4/30/2015","2:26pm"
"306","SIRI","3.920","23842086","45400","4/30/2015","2:26pm"
"307","GE","27.160","25988438","45927","4/30/2015","2:26pm"
"308","S","5.110","9058491","12461","4/30/2015","2:26pm"
"309","BAC","15.935","49276853","225888","4/30/2015","2:26pm"
"310","MSFT","49.020","42996479","48635","4/30/2015","2:26pm"
"311","AMZN","422.729","2041682","8913","4/30/2015","2:27pm"
"312","AAPL","125.305","57213304","96758","4/30/2015","2:27pm"
"313","FB","78.960","16083165","33987","4/30/2015","2:27pm"
"314","GOOG","538.590","1237598","785","4/30/2015","2:27pm"
"315","YHOO","42.590","7683132","60148","4/30/2015","2:27pm"
"316","SIRI","3.920","23925486","83400","4/30/2015","2:27pm"
"317","GE","27.160","26001209","12771","4/30/2015","2:27pm"
"318","S","5.115","9068585","10094","4/30/2015","2:27pm"
"319","BAC","15.935","49308332","31479","4/30/2015","2:27pm"
"320","MSFT","49.020","43060844","64365","4/30/2015","2:27pm"
"321","AMZN","422.590","2046837","5155","4/30/2015","2:28pm"
"322","AAPL","125.370","57306481","93177","4/30/2015","2:28pm"
"323","FB","78.960","16134520","51355","4/30/2015","2:28pm"
"324","GOOG","538.434","1239267","1669","4/30/2015","2:28pm"
"325","YHOO","42.580","7716719","33587","4/30/2015","2:28pm"
"326","SIRI","3.915","24366804","441318","4/30/2015","2:28pm"
"327","GE","27.165","26080448","79239","4/30/2015","2:28pm"
"328","S","5.120","9090543","21958","4/30/2015","2:28pm"
"329","BAC","15.930","49331522","23190","4/30/2015","2:28pm"
"330","MSFT","49.010","43154045","93201","4/30/2015","2:28pm"
"331","AMZN","422.220","2060039","13202","4/30/2015","2:29pm"
"332","AAPL","125.330","57413820","107339","4/30/2015","2:29pm"
"333","FB","78.900","16180617","46097","4/30/2015","2:29pm"
"334","GOOG","538.340","1241322","2055","4/30/2015","2:29pm"
"335","YHOO","42.570","7733031","16312","4/30/2015","2:29pm"
"336","SIRI","3.910","24382304","15500","4/30/2015","2:29pm"
"337","GE","27.165","26144884","64436","4/30/2015","2:29pm"
"338","S","5.120","9099843","9300","4/30/2015","2:29pm"
"339","BAC","15.912","49842612","511090","4/30/2015","2:29pm"
"340","MSFT","48.975","43234896","80851","4/30/2015","2:29pm"
"341","AMZN","422.062","2071446","11407","4/30/2015","2:30pm"
"342","AAPL","125.190","57767245","353425","4/30/2015","2:30pm"
"343","FB","78.805","16274132","93515","4/30/2015","2:30pm"
"344","GOOG","537.573","1250910","9588","4/30/2015","2:30pm"
"345","YHOO","42.540","7752273","19242","4/30/2015","2:30pm"
"346","SIRI","3.920","24433708","51404","4/30/2015","2:30pm"
"347","GE","27.170","26298474","153590","4/30/2015","2:30pm"
"348","S","5.115","9128217","28374","4/30/2015","2:30pm"
"349","BAC","15.900","49987722","145110","4/30/2015","2:30pm"
"350","MSFT","48.935","43350349","115453","4/30/2015","2:30pm"
"351","AMZN","421.670","2096125","24679","4/30/2015","2:31pm"
"352","AAPL","125.130","58238052","470807","4/30/2015","2:31pm"
"353","FB","78.760","16346153","72021","4/30/2015","2:31pm"
"354","GOOG","536.940","1258601","7691","4/30/2015","2:31pm"
"355","YHOO","42.540","7799612","47339","4/30/2015","2:31pm"
"356","SIRI","3.910","24479861","46153","4/30/2015","2:31pm"
"357","GE","27.180","26469599","171125","4/30/2015","2:31pm"
"358","S","5.100","9158810","30593","4/30/2015","2:31pm"
"359","BAC","15.880","50455527","467805","4/30/2015","2:31pm"
"360","MSFT","48.921","43485101","134752","4/30/2015","2:31pm"
"361","AMZN","421.765","2107873","11748","4/30/2015","2:32pm"
"362","AAPL","125.130","58412358","174306","4/30/2015","2:32pm"
"363","FB","78.789","16487762","141609","4/30/2015","2:32pm"
"364","GOOG","537.130","1262504","3903","4/30/2015","2:32pm"
"365","YHOO","42.540","7856268","56656","4/30/2015","2:32pm"
"366","SIRI","3.920","24484261","4400","4/30/2015","2:32pm"
"367","GE","27.185","26570481","100882","4/30/2015","2:32pm"
"368","S","5.100","9177155","18345","4/30/2015","2:32pm"
"369","BAC","15.900","50823681","368154","4/30/2015","2:32pm"
"370","MSFT","48.930","43601994","116893","4/30/2015","2:32pm"
"371","AMZN","421.970","2115093","7220","4/30/2015","2:33pm"
"372","AAPL","125.130","58534371","122013","4/30/2015","2:33pm"
"373","FB","78.821","16594387","106625","4/30/2015","2:33pm"
"374","GOOG","537.255","1262695","191","4/30/2015","2:33pm"
"375","YHOO","42.540","7883145","26877","4/30/2015","2:33pm"
"376","SIRI","3.910","24522417","38156","4/30/2015","2:33pm"
"377","GE","27.190","26634926","64445","4/30/2015","2:33pm"
"378","S","5.105","9184632","7477","4/30/2015","2:33pm"
"379","BAC","15.900","50908848","85167","4/30/2015","2:33pm"
"380","MSFT","48.950","43637585","35591","4/30/2015","2:33pm"
"381","AMZN","422.320","2124960","9867","4/30/2015","2:34pm"
"382","AAPL","125.210","58684586","150215","4/30/2015","2:34pm"
"383","FB","78.800","16636741","42354","4/30/2015","2:34pm"
"384","GOOG","537.010","1265378","2683","4/30/2015","2:34pm"
"385","YHOO","42.565","7903773","20628","4/30/2015","2:34pm"
"386","SIRI","3.920","24532217","9800","4/30/2015","2:34pm"
"387","GE","27.195","26679548","44622","4/30/2015","2:34pm"
"388","S","5.120","9337674","153042","4/30/2015","2:34pm"
"389","BAC","15.910","51191286","282438","4/30/2015","2:34pm"
"390","MSFT","48.925","43704006","66421","4/30/2015","2:34pm"
"391","AMZN","422.240","2128792","3832","4/30/2015","2:35pm"
"392","AAPL","125.230","58826509","141923","4/30/2015","2:35pm"
"393","FB","78.777","16730372","93631","4/30/2015","2:35pm"
"394","GOOG","537.950","1269359","3981","4/30/2015","2:35pm"
"395","YHOO","42.600","7928060","24287","4/30/2015","2:35pm"
"396","SIRI","3.915","24576217","44000","4/30/2015","2:35pm"
"397","GE","27.210","26712205","32657","4/30/2015","2:35pm"
"398","S","5.120","9350180","12506","4/30/2015","2:35pm"
"399","BAC","15.915","51221861","30575","4/30/2015","2:35pm"
"400","MSFT","48.940","43822755","118749","4/30/2015","2:35pm"
"401","AMZN","422.350","2130435","1643","4/30/2015","2:36pm"
"402","AAPL","125.320","58971133","144624","4/30/2015","2:36pm"
"403","FB","78.830","16806727","76355","4/30/2015","2:36pm"
"404","GOOG","537.840","1273495","4136","4/30/2015","2:36pm"
"405","YHOO","42.580","7930564","2504","4/30/2015","2:36pm"
"406","SIRI","3.915","24602317","26100","4/30/2015","2:36pm"
"407","GE","27.200","26733181","20976","4/30/2015","2:36pm"
"408","S","5.130","9411614","61434","4/30/2015","2:36pm"
"409","BAC","15.919","51269897","48036","4/30/2015","2:36pm"
"410","MSFT","48.980","43921779","99024","4/30/2015","2:36pm"
"411","AMZN","422.600","2136320","5885","4/30/2015","2:37pm"
"412","AAPL","125.380","59116312","145179","4/30/2015","2:37pm"
"413","FB","78.835","16861988","55261","4/30/2015","2:37pm"
"414","GOOG","537.740","1282944","9449","4/30/2015","2:37pm"
"415","YHOO","42.548","7960869","30305","4/30/2015","2:37pm"
"416","SIRI","3.920","25039886","437569","4/30/2015","2:37pm"
"417","GE","27.180","26803567","70386","4/30/2015","2:37pm"
"418","S","5.130","9411618","4","4/30/2015","2:36pm"
"419","BAC","15.915","51295410","25513","4/30/2015","2:37pm"
"420","MSFT","48.920","43966943","45164","4/30/2015","2:37pm"
"421","AMZN","422.865","2144385","8065","4/30/2015","2:38pm"
"422","AAPL","125.409","59230066","113754","4/30/2015","2:38pm"
"423","FB","78.825","16952797","90809","4/30/2015","2:38pm"
"424","GOOG","538.187","1284702","1758","4/30/2015","2:38pm"
"425","YHOO","42.590","7991657","30788","4/30/2015","2:38pm"
"426","SIRI","3.925","25053186","13300","4/30/2015","2:38pm"
"427","GE","27.200","26843931","40364","4/30/2015","2:38pm"
"428","S","5.120","9440326","28708","4/30/2015","2:38pm"
"429","BAC","15.910","51388474","93064","4/30/2015","2:38pm"
"430","MSFT","48.960","44035481","68538","4/30/2015","2:38pm"
"431","AMZN","422.890","2154668","10283","4/30/2015","2:39pm"
"432","AAPL","125.420","59347735","117669","4/30/2015","2:39pm"
"433","FB","78.790","17084288","131491","4/30/2015","2:39pm"
"434","GOOG","538.055","1287089","2387","4/30/2015","2:39pm"
