"514","GOOG","536.976","466.184","-0.098"
"515","YHOO","42.348","36.763","-0.044"
"516","SIRI","3.906","3.391","-0.003"
"517","GE","27.043","23.477","-0.031"
"518","S","5.075","4.405","-0.008"
"519","BAC","15.846","13.756","-0.031"
"520","MSFT","48.828","42.383","-0.044"
"521","AMZN","419.731","364.395","-1.028"
"522","AAPL","124.889","108.390","-0.132"
"523","FB","78.464","68.098","0.000"
"524","GOOG","536.840","466.048","-0.127"
"525","YHOO","42.332","36.745","-0.046"
"526","SIRI","3.907","3.393","-0.003"
"527","GE","27.039","23.474","-0.020"
"528","S","5.075","4.407","-0.006"
"529","BAC","15.839","13.748","-0.029"
"530","MSFT","48.807","42.366","-0.040"
"531","AMZN","419.635","364.342","-0.978"
"532","AAPL","124.826","108.359","-0.140"
"533","FB","78.438","68.097","0.001"
"534","GOOG","536.768","466.065","-0.169"
"535","YHOO","42.324","36.747","-0.052"
"536","SIRI","3.906","3.392","-0.005"
"537","GE","27.036","23.476","-0.010"
"538","S","5.075","4.408","-0.006"
"539","BAC","15.836","13.749","-0.028"
"540","MSFT","48.786","42.356","-0.040"
"541","AMZN","419.667","364.460","-0.862"
"542","AAPL","124.817","108.382","-0.117"
"543","FB","78.435","68.118","0.016"
"544","GOOG","536.716","466.054","-0.152"
"545","YHOO","42.324","36.753","-0.054"
"546","SIRI","3.907","3.393","-0.004"
"547","GE","27.039","23.484","0.003"
"548","S","5.074","4.406","-0.005"
"549","BAC","15.835","13.751","-0.024"
"550","MSFT","48.782","42.355","-0.029"
"551","AMZN","419.781","364.606","-0.809"
"552","AAPL","124.857","108.464","-0.106"
"553","FB","78.466","68.169","0.010"
"554","GOOG","536.864","466.267","-0.174"
"555","YHOO","42.332","36.769","-0.061"
"556","SIRI","3.907","3.392","-0.002"
"557","GE","27.049","23.496","0.007"
"558","S","5.076","4.408","-0.004"
"559","BAC","15.838","13.755","-0.021"
"560","MSFT","48.782","42.361","-0.030"
"561","AMZN","419.923","364.767","-0.750"
"562","AAPL","124.914","108.540","-0.086"
"563","FB","78.506","68.213","0.008"
"564","GOOG","536.968","466.403","-0.171"
"565","YHOO","42.344","36.782","-0.060"
"566","SIRI","3.907","3.392","-0.001"
"567","GE","27.063","23.511","0.008"
"568","S","5.077","4.408","-0.001"
"569","BAC","15.842","13.762","-0.018"
"570","MSFT","48.790","42.376","-0.029"
"571","AMZN","420.071","364.868","-0.705"
"572","AAPL","125.019","108.632","-0.086"
"573","FB","78.566","68.256","-0.008"
"574","GOOG","537.164","466.551","-0.200"
"575","YHOO","42.366","36.798","-0.057"
"576","SIRI","3.906","3.391","-0.001"
"577","GE","27.075","23.517","0.007"
"578","S","5.076","4.407","-0.001"
"579","BAC","15.852","13.770","-0.014"
"580","MSFT","48.800","42.383","-0.031"
"581","AMZN","420.161","364.829","-0.657"
"582","AAPL","125.097","108.665","-0.074"
"583","FB","78.600","68.264","-0.012"
"584","GOOG","537.252","466.562","-0.173"
"585","YHOO","42.380","36.807","-0.052"
"586","SIRI","3.907","3.393","-0.001"
"587","GE","27.084","23.521","0.012"
"588","S","5.074","4.405","0.000"
"589","BAC","15.856","13.772","-0.012"
"590","MSFT","48.812","42.391","-0.033"
"591","AMZN","420.215","364.867","-0.579"
"592","AAPL","125.149","108.675","-0.068"
"593","FB","78.624","68.270","-0.021"
"594","GOOG","537.358","466.574","-0.168"
"595","YHOO","42.392","36.813","-0.047"
"596","SIRI","3.907","3.394","-0.001"
"597","GE","27.092","23.526","0.015"
"598","S","5.075","4.406","0.000"
"599","BAC","15.860","13.773","-0.010"
"600","MSFT","48.821","42.394","-0.036"
"601","AMZN","420.305","365.002","-0.449"
"602","AAPL","125.220","108.768","-0.042"
"603","FB","78.625","68.266","-0.020"
"604","GOOG","537.420","466.685","-0.168"
"605","YHOO","42.402","36.825","-0.039"
"606","SIRI","3.908","3.394","0.000"
"607","GE","27.100","23.535","0.018"
"608","S","5.073","4.404","0.000"
"609","BAC","15.866","13.779","-0.007"
"610","MSFT","48.831","42.404","-0.030"
"611","AMZN","420.363","365.097","-0.277"
"612","AAPL","125.253","108.785","-0.003"
"613","FB","78.613","68.249","0.003"
"614","GOOG","537.363","466.563","-0.063"
"615","YHOO","42.408","36.826","-0.032"
"616","SIRI","3.909","3.395","0.001"
"617","GE","27.096","23.527","0.023"
"618","S","5.072","4.403","0.001"
"619","BAC","15.869","13.782","-0.002"
"620","MSFT","48.835","42.409","-0.022"
"621","AMZN","420.348","365.030","-0.113"
"622","AAPL","125.266","108.796","0.039"
"623","FB","78.581","68.213","0.030"
"624","GOOG","537.293","466.498","0.021"
"625","YHOO","42.402","36.813","-0.022"
"626","SIRI","3.910","3.395","0.002"
"627","GE","27.092","23.519","0.030"
"628","S","5.071","4.403","0.002"
"629","BAC","15.870","13.783","0.003"
"630","MSFT","48.833","42.400","-0.014"
"631","AMZN","420.389","364.986","0.044"
"632","AAPL","125.302","108.816","0.105"
"633","FB","78.558","68.190","0.066"
"634","GOOG","537.273","466.474","0.145"
"635","YHOO","42.396","36.804","-0.003"
"636","SIRI","3.912","3.398","0.001"
"637","GE","27.092","23.520","0.037"
"638","S","5.071","4.403","0.001"
"639","BAC","15.873","13.784","0.011"
"640","MSFT","48.829","42.393","-0.002"
"641","AMZN","420.380","364.945","0.231"
"642","AAPL","125.340","108.827","0.173"
"643","FB","78.534","68.174","0.089"
"644","GOOG","537.220","466.404","0.242"
"645","YHOO","42.394","36.805","0.010"
"646","SIRI","3.913","3.399","0.002"
"647","GE","27.093","23.526","0.042"
"648","S","5.070","4.402","-0.001"
"649","BAC","15.875","13.783","0.017"
"650","MSFT","48.832","42.399","0.009"
"651","AMZN","420.284","364.874","0.331"
"652","AAPL","125.297","108.783","0.224"
"653","FB","78.504","68.152","0.100"
"654","GOOG","537.018","466.221","0.364"
"655","YHOO","42.380","36.794","0.023"
"656","SIRI","3.914","3.399","0.002"
"657","GE","27.085","23.520","0.045"
"658","S","5.071","4.404","0.000"
"659","BAC","15.874","13.783","0.021"
"660","MSFT","48.816","42.378","0.015"
"661","AMZN","420.130","364.742","0.371"
"662","AAPL","125.265","108.735","0.238"
"663","FB","78.479","68.134","0.089"
"664","GOOG","536.923","466.108","0.340"
"665","YHOO","42.365","36.779","0.029"
"666","SIRI","3.914","3.398","0.003"
"667","GE","27.083","23.515","0.042"
"668","S","5.072","4.405","-0.001"
"669","BAC","15.871","13.779","0.024"
"670","MSFT","48.792","42.351","0.018"
"671","AMZN","419.986","364.557","0.371"
"672","AAPL","125.198","108.646","0.253"
